import time: self [us] | cumulative | imported package
import time:      4082 |       4082 |             fontTools.misc.vector
import time:     69566 |      69566 |             fontTools.misc.fixedTools
import time:     73922 |      73922 |             fontTools.misc.transform
import time:      1529 |       1529 |               fontTools.pens
import time:      2227 |       2227 |                 fontTools.pens.basePen
import time:      1658 |       1658 |                   fontTools.misc.enumTools
import time:      3382 |       5040 |                 fontTools.pens.pointPen
import time:      1956 |       1956 |                 fontTools.pens.recordingPen
import time:      2083 |      11303 |               fontTools.pens.filterPen
import time:      2029 |      14860 |             fontTools.pens.transformPen
import time:    107872 |     270300 |           fontTools.ttLib.ttGlyphSet
import time:     40684 |      40684 |             fontTools.misc.sstruct
import time:      4638 |      45321 |           fontTools.ttLib.sfnt
import time:      4742 |     399652 |         fontTools.ttLib.ttFont
import time:     70616 |      70616 |         fontTools.ttLib.ttCollection
import time:     43652 |     513919 |       fontTools.ttLib
import time:      1920 |       1920 |       fontTools.ttLib.tables
import time:      2577 |       2577 |         fontTools.ttLib.tables.TupleVariation
import time:      2009 |       2009 |             fontTools.ttLib.tables.DefaultTable
import time:      8800 |       8800 |             uharfbuzz
import time:     29581 |      40389 |           fontTools.ttLib.tables.otBase
import time:      1715 |      42103 |         fontTools.ttLib.tables.otTraverse
import time:     66213 |      66213 |         fontTools.misc.arrayTools
import time:      4626 |       4626 |           fontTools.misc.bezierTools
import time:     29454 |      34079 |         fontTools.pens.boundsPen
import time:      1524 |       1524 |           fontTools.feaLib
import time:      2118 |       3641 |         fontTools.feaLib.lookupDebugInfo
import time:      8760 |       8760 |         fontTools.ttLib.tables.otData
import time:     26021 |      26021 |           fontTools.misc.lazyTools
import time:     57149 |      83169 |         fontTools.ttLib.tables.otConverters
import time:    104614 |     345154 |       fontTools.ttLib.tables.otTables
import time:     27159 |      27159 |         fontTools.otlLib
import time:      1715 |      28874 |       fontTools.otlLib.maxContextCalc
import time:      1212 |       1212 |       fontTools.misc.cliTools
import time:      2525 |       2525 |       fontTools.subset.util
import time:     66818 |      66818 |         fontTools.misc.psCharStrings
import time:     13700 |      13700 |           fontTools.cffLib
import time:     84209 |      97909 |         fontTools.ttLib.tables.C_F_F_
import time:      3062 |     167788 |       fontTools.subset.cff
import time:       840 |        840 |         lxml
import time:     30098 |      30098 |         fontTools.ttLib.tables.S_V_G_
import time:     38035 |      68972 |       fontTools.subset.svg
import time:     34709 |      34709 |         fontTools.ttLib.tables._f_v_a_r
import time:      3349 |       3349 |           fontTools.ttLib.tables.ttProgram
import time:      2674 |       2674 |           fontTools.misc.filenames
import time:     30571 |      36593 |         fontTools.ttLib.tables._g_l_y_f
import time:     34907 |      34907 |         fontTools.varLib.builder
import time:      1819 |       1819 |           fontTools.varLib.errors
import time:      1597 |       3416 |         fontTools.varLib.models
import time:      1092 |       1092 |           fontTools.misc.intTools
import time:      1769 |       2860 |         fontTools.varLib.varStore
import time:      1128 |       1128 |             fontTools.colorLib
import time:      1099 |       1099 |             fontTools.misc.treeTools
import time:      1461 |       1461 |             fontTools.ttLib.tables.C_O_L_R_
import time:      1763 |       1763 |             fontTools.ttLib.tables.C_P_A_L_
import time:     23300 |      23300 |                   fontTools.encodings
import time:     46748 |      70047 |                 fontTools.encodings.codecs
import time:     35689 |     105736 |               fontTools.misc.encodingTools
import time:     22572 |      22572 |                 fontTools.misc.visitor
import time:     25444 |      48015 |               fontTools.ttLib.ttVisitor
import time:     36486 |     190237 |             fontTools.ttLib.tables._n_a_m_e
import time:     34530 |      34530 |             fontTools.colorLib.errors
import time:      1432 |       1432 |             fontTools.colorLib.geometry
import time:      1637 |       1637 |             fontTools.colorLib.table_builder
import time:      4035 |     237318 |           fontTools.colorLib.builder
import time:     29803 |      29803 |           fontTools.misc.classifyTools
import time:     55480 |      55480 |               fontTools.feaLib.error
import time:     84279 |      84279 |               fontTools.feaLib.location
import time:     30424 |     170181 |             fontTools.feaLib.ast
import time:      1832 |       1832 |                   gettext
import time:      4064 |       5896 |                 argparse
import time:    141713 |     141713 |                 fontTools.otlLib.optimize.gpos
import time:      1958 |     149566 |               fontTools.otlLib.optimize
import time:        92 |     149657 |             fontTools.otlLib.optimize.gpos
import time:     29589 |      29589 |             fontTools.otlLib.error
import time:     57876 |     407302 |           fontTools.otlLib.builder
import time:      2573 |     676995 |         fontTools.varLib.merger
import time:      1478 |       1478 |         fontTools.varLib.mvar
import time:      2299 |       2299 |         fontTools.varLib.iup
import time:      1644 |       1644 |           fontTools.misc.dictTools
import time:      2092 |       3736 |         fontTools.varLib.featureVars
import time:       761 |        761 |               lxml
import time:       110 |        871 |             lxml.etree
import time:      3998 |       3998 |               xml.etree
import time:      1644 |       1644 |                 xml.etree.ElementPath
import time:     40478 |      40478 |                 _elementtree
import time:      2538 |      44659 |               xml.etree.ElementTree
import time:      2804 |      51460 |             xml.etree.cElementTree
import time:    103358 |     155688 |           fontTools.misc.etree
import time:      2497 |       2497 |           fontTools.misc.plistlib
import time:     44704 |     202888 |         fontTools.designspaceLib
import time:      3432 |       3432 |           fontTools.designspaceLib.statNames
import time:      3079 |       3079 |           fontTools.designspaceLib.types
import time:    104310 |     110820 |         fontTools.designspaceLib.split
import time:     71606 |      71606 |         fontTools.varLib.stat
import time:    101259 |     101259 |         fontTools.colorLib.unbuilder
import time:     40065 |    1323625 |       fontTools.varLib
import time:     40153 |      40153 |         fontTools.misc.iterTools
import time:      1850 |      42003 |       fontTools.varLib.multiVarStore
import time:       783 |        783 |         unicodedata2
import time:    125453 |     125453 |         fontTools.unicodedata.Blocks
import time:    141714 |     141714 |         fontTools.unicodedata.Mirrored
import time:     64932 |      64932 |         fontTools.unicodedata.Scripts
import time:      3296 |       3296 |         fontTools.unicodedata.ScriptExtensions
import time:      1459 |       1459 |         fontTools.unicodedata.OTTags
import time:     56927 |     394562 |       fontTools.unicodedata
import time:     63363 |      63363 |         fontTools.ttLib.tables.BitmapGlyphMetrics
import time:     29152 |      92514 |       fontTools.ttLib.tables.E_B_L_C_
import time:     64547 |      64547 |       fontTools.ttLib.tables.E_B_D_T_
import time:     29649 |      29649 |           fontTools.ttLib.tables.sbixGlyph
import time:      1614 |      31262 |         fontTools.ttLib.tables.sbixStrike
import time:     63413 |      94675 |       fontTools.ttLib.tables._s_b_i_x
import time:     85410 |      85410 |       fontTools.ttLib.tables.G_S_U_B_
import time:     42979 |      42979 |       fontTools.ttLib.tables.G_P_O_S_
import time:      1311 |       1311 |       fontTools.ttLib.tables.G_D_E_F_
import time:      1502 |       1502 |       fontTools.ttLib.tables._k_e_r_n
import time:      1219 |       1219 |         fontTools.ttLib.tables._h_m_t_x
import time:      1211 |       2430 |       fontTools.ttLib.tables._v_m_t_x
import time:      1759 |       1759 |       fontTools.ttLib.tables._h_d_m_x
import time:     68771 |      68771 |       fontTools.ttLib.tables._a_n_k_r
import time:     48014 |      48014 |       fontTools.ttLib.tables._b_s_l_n
import time:      2869 |       2869 |       fontTools.ttLib.tables._l_c_a_r
import time:      1439 |       1439 |       fontTools.ttLib.tables._g_v_a_r
import time:      1311 |       1311 |       fontTools.ttLib.tables.H_V_A_R_
import time:      1087 |       1087 |       fontTools.ttLib.tables.V_V_A_R_
import time:     36537 |      36537 |       fontTools.ttLib.tables.V_O_R_G_
import time:     26776 |      26776 |       fontTools.ttLib.tables._o_p_b_d
import time:    103891 |     103891 |         fontTools.ttLib.standardGlyphOrder
import time:     54476 |     158367 |       fontTools.ttLib.tables._p_o_s_t
import time:     46940 |      46940 |       fontTools.ttLib.tables._p_r_o_p
import time:     24378 |      24378 |       fontTools.ttLib.tables.V_A_R_C_
import time:     32374 |      32374 |       fontTools.ttLib.tables.M_A_T_H_
import time:     24238 |      24238 |         fontTools.unicode
import time:     27832 |      52070 |       fontTools.ttLib.tables._c_m_a_p
import time:     33695 |      33695 |       fontTools.ttLib.tables.D_S_I_G_
import time:     33858 |      33858 |       fontTools.ttLib.tables._m_a_x_p
import time:      1328 |       1328 |         fontTools.misc.timeTools
